"family","species","month","year","x","y"
"Elephantidae","Loxodonta africana",11,2021,36.191491,-3.673453
"Elephantidae","Loxodonta africana",11,2021,35.840695,-3.73353
"Elephantidae","Loxodonta africana",5,2023,35.407001,-3.019977
"Elephantidae","Loxodonta africana",11,2021,36.073634,-3.79832
"Elephantidae","Loxodonta africana",11,2021,35.94635,-3.743995
"Felidae","Panthera leo",9,2024,34.882714,-2.390182
"Elephantidae","Loxodonta africana",5,2023,35.403022,-3.007377
"Felidae","Panthera leo",8,2023,35.402869,-3.171365
"Felidae","Panthera leo",9,2024,34.837823,-2.33487
"Elephantidae","Loxodonta africana",10,2024,35.416988,-3.388693
"Felidae","Panthera pardus",10,2024,34.834861,-2.407093
"Felidae","Panthera leo",5,2023,34.80942,-2.672539
"Elephantidae","Loxodonta africana",11,2021,35.830753,-3.756877
"Felidae","Panthera leo",5,2023,35.534788,-3.062085
"Bovidae","Syncerus caffer",1,2017,34.911455,-2.310578
"Felidae","Panthera leo",8,2023,35.494068,-3.118388
"Elephantidae","Loxodonta africana",11,2021,35.96727,-3.779443
"Elephantidae","Loxodonta africana",11,2021,36.109785,-3.784321
"Felidae","Panthera leo",9,2024,36.034179,-4.197616
"Elephantidae","Loxodonta africana",10,2024,35.552616,-3.267447
"Elephantidae","Loxodonta africana",10,2024,35.834364,-3.396019
"Felidae","Panthera leo",1,2018,35.406919,-3.09876
"Elephantidae","Loxodonta africana",1,2018,35.482287,-3.378032
"Elephantidae","Loxodonta africana",11,2021,35.878069,-3.758529
"Elephantidae","Loxodonta africana",10,2024,35.946009,-3.271799
"Elephantidae","Loxodonta africana",9,2024,34.981656,-2.260237
"Bovidae","Syncerus caffer",10,2024,35.516251,-3.097671
"Rhinocerotidae","Diceros bicornis",10,2024,35.570031,-3.35615
"Felidae","Panthera leo",10,2024,35.549704,-3.113952
"Felidae","Panthera leo",10,2024,35.545632,-3.024194
"Elephantidae","Loxodonta africana",9,2024,35.44972,-3.105787
"Felidae","Panthera leo",9,2024,34.801832,-2.209754
"Felidae","Panthera leo",9,2024,34.872895,-2.323948
"Rhinocerotidae","Diceros bicornis",9,2024,35.597689,-3.247208
"Felidae","Panthera leo",10,2024,34.70538,-2.421974
"Felidae","Panthera leo",9,2024,34.912735,-2.208771
"Felidae","Panthera leo",9,2024,34.848593,-2.269833
"Felidae","Panthera leo",10,2024,35.404593,-3.159598
"Bovidae","Syncerus caffer",10,2024,35.532396,-3.120183
"Felidae","Panthera pardus",8,2013,36.19265,-4.047122
"Felidae","Panthera leo",9,2024,34.960969,-2.352923
"Bovidae","Syncerus caffer",10,2024,35.536267,-3.171317
"Felidae","Panthera leo",9,2024,35.056869,-2.830914
"Felidae","Panthera leo",9,2024,34.855294,-2.23489
"Felidae","Panthera leo",9,2024,34.945464,-2.352005
"Felidae","Panthera leo",9,2024,34.860733,-2.608132
"Bovidae","Syncerus caffer",8,2024,35.532743,-3.295436
"Felidae","Panthera leo",10,2024,35.597422,-3.238372
"Felidae","Panthera pardus",4,2018,34.932971,-2.369336
"Felidae","Panthera leo",4,2018,34.857265,-3.094353
"Felidae","Panthera leo",10,2024,34.995242,-7.732364
"Elephantidae","Loxodonta africana",4,2018,35.459558,-3.180985
"Felidae","Panthera leo",7,2016,35.417688,-3.049723
