Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1966","1966","t","161072","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1967","1967","ha","310000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1967","1967","t","143627","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1968","1968","ha","315000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1968","1968","t","163314","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1969","1969","ha","310000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1969","1969","t","145179","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1970","1970","ha","310000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1970","1970","t","171912","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1971","1971","ha","310000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1971","1971","t","150335","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1972","1972","ha","350000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1972","1972","t","175247","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1973","1973","ha","353749","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1973","1973","t","192406","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1974","1974","ha","310000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1974","1974","t","195024","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1975","1975","ha","450000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1975","1975","t","250000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1976","1976","ha","550000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1976","1976","t","300000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1977","1977","ha","700000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1977","1977","t","350000","X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1978","1978","ha","700000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1978","1978","t","450909","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1979","1979","ha","700000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1979","1979","t","695000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1980","1980","ha","740000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1980","1980","t","510000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1981","1981","ha","700000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1981","1981","t","425000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1982","1982","ha","322890","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1982","1982","t","580000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1983","1983","ha","476220","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1983","1983","t","475000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1984","1984","ha","459800","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1984","1984","t","455000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1985","1985","ha","445880","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1985","1985","t","615000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1986","1986","ha","800000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1986","1986","t","650000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1987","1987","ha","758000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1987","1987","t","663000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1988","1988","ha","476700","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1988","1988","t","409660","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1989","1989","ha","486960","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1989","1989","t","537150","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1990","1990","ha","380000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1990","1990","t","464000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1991","1991","ha","600000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1991","1991","t","612000","E","Estimated value",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1992","1992","ha","683071","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1992","1992","t","587128","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1993","1993","ha","641610","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1993","1993","t","719140","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1994","1994","ha","663700","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1994","1994","t","478300","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1995","1995","ha","689500","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1995","1995","t","839000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1996","1996","ha","665500","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1996","1996","t","872000","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1997","1997","ha","622400","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1997","1997","t","538200","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5312","Area harvested","0114","Sorghum","1998","1998","ha","596200","A","Official figure",""
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","0114","Sorghum","1998","1998","t","563380","A","Official figure",""
